Account ID,Current Season Ticket Holder?,Has 2021 Season Tickets,Had 2019 Season Tickets,Had 2018 Season Tickets,Had 2017 Season Tickets
TWN1110872,Yes,1,0,0,0
TWN1114858,NO,0,1,0,0
TWN1114880,NO,0,1,0,0
TWN1114882,NO,0,0,0,1
TWN1114887,NO,0,0,0,1
TWN1114947,NO,0,1,1,0
TWN1114965,NO,0,0,0,1
TWN1115018,Yes,1,1,0,0
TWN1115039,NO,0,0,0,0
TWN1115087,Yes,1,0,0,0
TWN1115112,Yes,1,1,1,1
TWN1115114,Yes,1,0,0,0
TWN1115126,Yes,1,1,1,1
TWN1115130,NO,0,0,1,0
TWN1115161,Yes,1,1,1,1
TWN1115180,Yes,1,0,0,0
TWN1115205,Yes,1,1,1,1
TWN1115206,Yes,1,1,1,1
TWN1115227,Yes,1,1,1,1
TWN1115252,Yes,1,1,1,1
TWN1115257,NO,0,0,1,0
TWN1115259,NO,0,0,0,1
TWN1115268,NO,0,0,0,1
TWN1115274,NO,0,0,0,1
TWN1115277,NO,0,0,0,0
TWN1115292,Yes,1,1,1,1
TWN1115306,NO,0,0,1,0
TWN1115310,NO,0,1,1,1
TWN1115314,NO,0,0,0,1
TWN1115321,NO,0,0,1,0
TWN1115334,Yes,1,0,0,0
TWN1115384,NO,0,0,0,1
TWN1115402,NO,0,0,1,0
TWN1115417,Yes,1,0,0,0
TWN1115421,Yes,1,1,1,1
TWN1115429,NO,0,0,1,1
TWN1115435,Yes,1,0,0,0
TWN1115447,NO,0,0,1,0
TWN1115456,Yes,1,1,1,1
TWN1115465,NO,0,0,0,0
TWN1115470,NO,0,0,1,1
TWN1115481,NO,0,0,0,0
TWN1115495,NO,0,0,1,1
TWN1115526,NO,0,0,0,1
TWN1115533,Yes,1,1,1,1
TWN1115562,Yes,1,0,0,0
TWN1115579,NO,0,0,1,1
TWN1115581,Yes,1,1,0,0
TWN1115613,NO,0,1,1,0
TWN1115619,NO,0,0,1,1
TWN1115629,NO,0,0,0,0
TWN1115694,Yes,1,0,0,0
TWN1115698,NO,0,0,0,1
TWN1115703,NO,0,0,1,1
TWN1115714,NO,0,1,0,0
TWN1115725,NO,0,0,0,1
TWN1115819,NO,0,0,1,1
TWN1115820,NO,0,1,0,0
TWN1115823,Yes,1,1,1,1
TWN1115829,NO,0,0,0,0
TWN1115843,Yes,1,1,1,1
TWN1115857,Yes,1,1,1,1
TWN1115869,Yes,1,1,1,1
TWN1115898,Yes,1,1,1,1
TWN1115902,NO,0,0,0,0
TWN1115910,NO,0,0,0,0
TWN1115922,NO,0,0,1,0
TWN1115948,Yes,1,0,0,0
TWN1115956,Yes,1,0,0,0
TWN1115960,NO,0,0,1,0
TWN1115979,Yes,1,1,1,1
TWN1116022,NO,0,1,0,0
TWN1116064,Yes,1,1,1,1
TWN1116082,NO,0,0,0,0
TWN1116142,Yes,1,1,1,1
TWN1116145,Yes,1,1,1,1
TWN1116191,NO,0,0,1,0
TWN1116201,NO,0,0,0,0
TWN1116235,NO,0,1,0,0
TWN1116253,NO,0,0,0,0
TWN1116292,NO,0,1,0,0
TWN1116301,NO,0,1,1,0
TWN1116302,NO,0,1,0,0
TWN1116312,NO,0,1,0,0
TWN1116317,Yes,1,0,0,0
TWN1116338,Yes,1,1,1,1
TWN1116372,NO,0,1,1,0
TWN1116400,Yes,1,1,1,1
TWN1116419,NO,0,1,0,0
TWN1116438,NO,0,0,0,0
TWN1116455,Yes,1,0,0,0
TWN1116469,NO,0,1,0,0
TWN1116481,Yes,1,1,1,1
TWN1116485,Yes,1,1,1,1
TWN1116527,Yes,1,0,0,0
TWN1116530,Yes,1,0,0,0
TWN1116543,NO,0,1,0,0
TWN1116555,Yes,1,0,0,0
TWN1116563,Yes,1,1,1,1
TWN1116564,NO,0,0,1,1
TWN1116584,Yes,1,0,0,0
TWN1116610,Yes,1,0,0,0
TWN1116614,NO,0,0,0,0
TWN1116636,NO,0,1,1,0
TWN1116639,Yes,1,1,1,1
TWN1116660,Yes,1,0,0,0
TWN1116705,Yes,1,0,0,0
TWN1116774,NO,0,1,0,0
TWN1116781,Yes,1,0,0,0
TWN1116845,NO,0,0,0,1
TWN1116882,NO,0,0,1,1
TWN1116966,NO,0,0,0,0
TWN1116982,NO,0,1,0,0
TWN1117072,NO,0,0,1,1
TWN1117073,NO,0,0,0,0
TWN1117132,NO,0,0,1,1
TWN1117140,Yes,1,0,0,0
TWN1117153,Yes,1,0,0,0
TWN1117173,Yes,1,1,1,1
TWN1117239,NO,0,1,1,0
TWN1117262,Yes,1,1,1,1
TWN1117272,Yes,1,0,0,0
TWN1117315,NO,0,0,0,1
TWN1117321,Yes,1,0,0,0
TWN1117339,NO,0,1,0,0
TWN1117375,Yes,1,1,1,1
TWN1117430,NO,0,0,1,1
TWN1117486,NO,0,0,1,1
TWN1117496,Yes,1,0,0,0
TWN1117911,NO,0,1,0,0
TWN1117919,NO,0,0,0,0
TWN1117963,NO,0,0,0,0
TWN1117996,NO,0,0,0,1
TWN1118024,Yes,1,0,0,0
TWN1118049,NO,0,0,1,1
TWN1118079,NO,0,0,0,0
TWN1118081,Yes,1,1,1,1
TWN1118108,NO,0,0,0,0
TWN1118126,Yes,1,1,0,0
TWN1118194,Yes,1,0,0,0
TWN1118229,NO,0,0,0,0
TWN1118249,NO,0,0,1,1
TWN1118826,NO,0,0,0,0
TWN1119960,Yes,1,0,0,0
TWN1120271,NO,0,0,1,0
TWN1120451,Yes,1,1,1,1
TWN1120689,NO,0,1,0,0
TWN1121233,NO,0,0,0,1
TWN1121335,Yes,1,1,1,1
TWN1121542,Yes,1,1,1,1
TWN1121602,NO,0,1,1,0
TWN1121819,NO,0,1,0,0
TWN1121837,Yes,1,1,0,0
TWN1121978,Yes,1,1,0,0
TWN1121992,Yes,1,1,1,1
TWN1122309,Yes,1,1,0,0
TWN1122412,Yes,1,1,1,1
TWN1122427,NO,0,0,1,0
TWN1122537,NO,0,1,0,0
TWN1122785,Yes,1,1,1,1
TWN1122851,NO,0,1,0,0
TWN1122958,Yes,1,0,0,0
TWN1123054,NO,0,0,1,1
TWN1123407,NO,0,0,0,1
TWN1123826,Yes,1,1,1,1
TWN1123935,NO,0,0,1,0
TWN1123943,Yes,1,1,1,1
TWN1124,NO,0,1,0,0
TWN1124036,NO,0,1,1,0
TWN1124237,NO,0,0,0,0
TWN1124284,NO,0,0,1,0
TWN1124735,NO,0,0,0,1
TWN1125064,Yes,1,1,1,1
TWN1125195,Yes,1,1,0,0
TWN1125675,Yes,1,1,0,0
TWN1125689,Yes,1,0,0,0
TWN1125697,NO,0,0,1,1
TWN1125823,Yes,1,0,0,0
TWN1125874,NO,0,1,1,0
TWN1126040,NO,0,0,0,0
TWN1126054,NO,0,1,0,0
TWN1126076,NO,0,1,1,1
TWN1126120,NO,0,1,0,0
TWN1126251,NO,0,0,1,1
TWN1126264,NO,0,0,0,1
TWN1126279,NO,0,0,0,0
TWN1126331,Yes,1,1,1,1
TWN1126372,Yes,1,1,1,1
TWN1126381,NO,0,0,1,1
TWN1126385,Yes,1,1,1,1
TWN1126628,NO,0,0,0,0
TWN1127082,Yes,1,0,0,0
TWN1127189,NO,0,0,0,0
TWN1127337,Yes,1,1,1,1
TWN1127426,NO,0,0,0,1
TWN1127524,NO,0,0,0,0
TWN1127657,Yes,1,0,0,0
TWN1128000,Yes,1,1,1,1
TWN1128176,NO,0,0,0,0
TWN1128251,NO,0,0,0,0
TWN1128496,Yes,1,0,0,0
TWN1129074,Yes,1,1,1,1
TWN1129518,NO,0,0,1,1
TWN1130169,Yes,1,1,1,1
TWN1130426,Yes,1,1,1,1
TWN1131456,Yes,1,1,1,1
TWN1133270,Yes,1,1,1,1
TWN1133764,Yes,1,1,1,1
TWN1134066,NO,0,1,0,0
